,title,company,location,time,link,source
0,Sr Business Systems Analyst,SPECTRUM,New Delhi,9.0,https://job-openings.monster.com/sr-business-systems-analyst-new-delhi-us-spectrum/ed739825-2af9-4e1e-a991-31605078b004,Monster
1,"Cyber Security Intern
new",Astraea Solutions,"Delhi, Delhi",2.0,https://www.indeed.co.in//company/Astraea-Solutions/jobs/Cyber-Security-Intern-8ae03e066dcb9e7c?fccid=fd6e4224bb064db2&vjs=3,Indeed
2,"Cyber Security practitioner
new",Soffit Infrastructure Services (P) Ltd,"Kochi, Kerala",,https://www.indeed.co.in//company/Soffit-Infrastructure-Services-(P)-Ltd/jobs/Cyber-Security-Practitioner-472aad18366e954a?fccid=7b7e2a5fc776e836&vjs=3,Indeed
3,"Cyber Security Consultant/Analyst
new",GITS Academy,"Bengaluru, Karnataka",1.0,https://www.indeed.co.in//company/GITS-Academy/jobs/Cyber-Security-Consultant-Analyst-a0eb49a39e36b356?fccid=d07008af3e7b752b&vjs=3,Indeed
4,"Information Security Analyst - Junior
new",Synaptics,"Bengaluru, Karnataka",3.0,https://www.indeed.co.in//rc/clk?jk=e37c69c65263bc5f&fccid=adec49a5729b60f3&vjs=3,Indeed
5,Cyber Security Engineer,Infovibes Solutions,"Kochi, Kerala",16.0,https://www.indeed.co.in//company/INFOVIBES-SOLUTIONS-PVT-LTD./jobs/Cyber-Security-Engineer-aacb7d35e9bcabcc?fccid=6c3f7cffac5c2059&vjs=3,Indeed
6,"Cyber Security Analyst
new",Sartorius Corporation,"Bengaluru, Karnataka",3.0,https://www.indeed.co.in//rc/clk?jk=0dcf38c464078dd0&fccid=223a83189e0bc47a&vjs=3,Indeed
7,"Risk_Cyber Security_NGSO - TEM_Staff
new",EY,"Bengaluru, Karnataka",1.0,https://www.indeed.co.in//rc/clk?jk=0081393800123df3&fccid=1544766d4c2915b0&vjs=3,Indeed
8,Cyber Security Researchers,Cyber Crime Investigation & Research Center,"Dwarka, Delhi, Delhi",30.0,https://www.indeed.co.in//rc/clk?jk=0610acdab195d910&fccid=5e4e4506d81caf34&vjs=3,Indeed
9,"Business Development Lead/ Manager - APAC (Cyber/ Informatio...
new",SISA Infosec,"Bengaluru, Karnataka",3.0,https://www.indeed.co.in//rc/clk?jk=02980750d9b4f208&fccid=2fc34cfba89fc033&vjs=3,Indeed
10,"APAC CISO - Information Security Officer, VP
new",Credit Suisse,"Pune, Maharashtra",1.0,https://www.indeed.co.in//rc/clk?jk=c0dff5ddc287df1f&fccid=e127f4594cdf24f4&vjs=3,Indeed
11,"Information Security Officer
new",HealthAssure Pvt Ltd.,"Mumbai, Maharashtra",4.0,https://www.indeed.co.in//company/HealthAssure-Pvt-Ltd./jobs/Information-Security-Officer-12ab2e1a9446b1aa?fccid=725721f49887d1df&vjs=3,Indeed
12,"Cyber Detective
new",Research detective,"Delhi, Delhi",3.0,https://www.indeed.co.in//company/Research-detective/jobs/Cyber-Detective-73659890ee5b399a?fccid=6c0108695babd1e1&vjs=3,Indeed
13,Intern (Network Security),GLOBALFOUNDRIES,"Bengaluru, Karnataka",22.0,https://www.indeed.co.in//rc/clk?jk=d0071b90a6a94399&fccid=6a2e5a5f89491e88&vjs=3,Indeed
14,"Malware Security Analyst
new","FireEye, Inc.","Bengaluru, Karnataka",3.0,https://www.indeed.co.in//rc/clk?jk=de28917d2a19eb3e&fccid=5ed3d6e8b04e853e&vjs=3,Indeed
15,"Risk_Cyber Security_NGSO - TEM_Senior
new",EY,"Bengaluru, Karnataka",1.0,https://www.indeed.co.in//rc/clk?jk=e712d5d1030edfcc&fccid=1544766d4c2915b0&vjs=3,Indeed
16,"Cyber Security Intern
new",Astraea Solutions,"Delhi, Delhi",2.0,https://www.indeed.co.in//company/Astraea-Solutions/jobs/Cyber-Security-Intern-8ae03e066dcb9e7c?fccid=fd6e4224bb064db2&vjs=3,Indeed
