,title,company,location,time,link,source
0,Staff Engineer - Machine Learning,Twilio,"Bengaluru, Karnataka, KT",7.0,https://job-openings.monster.com/staff-engineer-machine-learning-bengaluru-karnataka-kt-us-twilio/951a577d-8de3-42c1-b221-c2953439a046,Monster
1,Senior Training Program Manager,Cyient,"Hyderabad, AP",30.0,https://job-openings.monster.com/senior-training-program-manager-hyderabad-ap-us-cyient/7b1e7f8f-4f1b-4215-b00f-5de4f76ccb38,Monster
2,Data Scientist Sales & Channel,HP,"Bengaluru, Karnataka",13.0,https://www.indeed.co.in//pagead/clk?mo=r&ad=-6NYlbfkN0C4JTuWysBZGWr3ScYyn1q3GP1Wt9Y6KOMkEf9pRAXJOefEmXwTDv0x7eeR7AMe8ZPvwNnyM0UN5ciiiW1OwOg432ptZ886pPcl9956YiQCFJa8OMb1FDqk-_ScW7LvTk2_6s80RONcvdfpaj2K9J_9auC9xswv22XBG1tfuENHY6zi3fpc_iGRc-mc12VuPYT8sgBuuzb4l4y0vaK6pA9T8tH63GU6kbr-MgnoGulPKNvKB_DsYjQnB0H6buECI65kSe5_QVwZ0ZC6u6a5I0Lz6ZTv1oDd5NLY6gNSl3as4x8imlrBXJaW_dAEm47glGpXiMC6zJLZg0Z6PlEOZdUSpVYAA-tssHvggf9JSXEd6kGZwUiqcxmZDSqnNs174ygXzXdsGOtxRzivGkXV98HXkaW_xBYftOmum-11LtZbIB8zxzn_EkHQ71EaXLijPClOSHvOXeezGOHoIdQwNqGt2XWYgWtbtnArNsQW8V70jjNCrhvQPym6KJXEPxdZifsZKAfWwtyL3SgAGO7FJidwHTzz1B73pT2KXYfrrBtwaD1X1F7ZtWy2PZapHrR077dB3yewGhjdklOeEdTEKrgyjyis-YPZC3CegF02fNCIeU2U5CwHUysGUbtCH4YsCqiZIOFUctNAwm10gjIsLQD2yii6nMFP53jOTrDZEVJ99jtTXJxn8P2w631uXWOkWqWlKjpxLh4HxpLzolhYeIZ6-qv4kCalDAt4LJmBz7jt6FrZJ0kVAFHWc2ZoLZILIZ3uAbCxqr7eOmC_tSrrNfcQBK-Rq_G1roLANOi-7LVZGHpuRq9zn7tTXAj0LwrggItO3_63umWRyff5f-q6T9Qz8dVXhg3JbMFie6bHRLy1rqmFee2246IeBdEgVOjDlXNhQ0czVZ-LlDmJpp1fTqKnYvJ-AxGqR27hCqXvQCCWHLKQe8rGmuvO&p=0&fvj=0&vjs=3,Indeed
3,Data Analyst,EW Technologies,"Kochi, Kerala",30.0,https://www.indeed.co.in//pagead/clk?mo=r&ad=-6NYlbfkN0C7dLlNRyAZ8eRgVQFtZGroLG2vh1M05qEfA0v1DRJsqo6e7v-qbnFHJWWkG98dqT_C0kCA1lv1yVMS0MzJOOaWMBuxfFkdtHMBwrKqwwZMck-35DoUF1O_lDyeZpmHTG9-pTYFfsXGz-LX6O2oUcAXjMfFq4ieJoAvnLTlYPX6niwjF9WO32Jdn34YoNBuc7B4yVEfqZ4jyk6nhIbZo5f_bQfZLo7hEBwyYymGGvPrY_Bdhmk4taCB8ZiinYZqxFnB_ei4cJsdisPXmiDm9rKgXnvRViU149AjFhPugnBQ5EjYEq6KpEqSfl1lCL4NIlhCzCy5bpwmS8fchQqY7A0Ozznqqx6IHBh2yhO0mmhPQehCO0l4JPb18inv-WNJzR_jLMSxPG3FyF-R9g_IhC-Yh5GQ0PrbuNKREOEXKaie-g==&p=1&fvj=1&vjs=3,Indeed
4,Sr. Node.js Developer,Lotus Interworks Inc,,8.0,https://www.indeed.co.in//pagead/clk?mo=r&ad=-6NYlbfkN0CjxIkUAm65iVK7RcxY5YHJNYrhEaFD2dNZgDNct8duGqqv-P_3b7vGm4TVRkbtsbQGcvZWTgtxIFjhmapZdszAzjoxLcgz9ulFHVLyh-abSHN1_SSIn7z2WhEJMs5bQEZbow0KcqV_BaGkCXF75_w-fqq5veyxO5wf5hsC2AcglYao_tLmSc0U3DtzU2AGoojWqlq13M_ElvgrlVCWcClvjTS2uQeX8DxPT72GwikqvTVkWJ4lLzcJ5NOK9O0SxMVyfzVv18-vkDBHgs_Py0Td4qJh4yq3pc1bINbiVIGlpSySpgqXEtifDJ8PKhnlw4F6rNKYAD-hpmce4LV4NbP7NcCiCpXPm8ELR_S-5GMGOW0W7cup2OPhq76DLesDvm72y1Dd3E04tIbdoGGKwfa91Et1SQTXmKDxRJBB_WVmriMgJZPKsAcrzSjo_xoVL1Y=&p=2&fvj=1&vjs=3,Indeed
5,Full Stack Developer,Raptor Design Technologies Pvt. Ltd,"Bengaluru, Karnataka",30.0,https://www.indeed.co.in//pagead/clk?mo=r&ad=-6NYlbfkN0ChZD04J3smlUoqGHqBx83XN5ZO5IDms6IC9-SJD5CLJLzq2z6jMGQjXEWRgoZjmLS22Eyk212fz0csr2IfAjEdJhccmHxz7gJbXQFcdolGpWDA9CweP3qs5W0cncHFaXsou0cpCJXc547ygA5_59tRZKSYIcUn6uv7-4EH-eIDJL1mJFE-o7BCL8Y6i7wuGp2memim9Pr8Bpsju3LiJWYV-FhYWGTFvbFuNq3-GcMoogJPoC5meOuoY5U3qjH2SEjfkkubi4lkUcmj_xzkin3Fw2oc-G4g6cBrn4j3TKKPXDdCBpG9j6XE2GFIlaQDMBJERDhpF2Ig0FhWsnpOoPjeAe2zZ6dvvE4kOEw7klM47LJPG674YYTc4a82cN7HSLxXUp0jSplNUIPz9zk_xhBDV9h26WCuUCkscTYOceZhXA==&p=3&fvj=1&vjs=3,Indeed
6,"Data Scientist (Active IQ)
new",NetApp,"Bengaluru, Karnataka",,https://www.indeed.co.in//rc/clk?jk=91ee1e69df740e8e&fccid=77cec2f25f9bd7ed&vjs=3,Indeed
7,"Data Scientist
new",Axpertino Private Limited,"Pune, Maharashtra",2.0,https://www.indeed.co.in//company/Axpertino/jobs/Data-Scientist-d84338f35d07fbe5?fccid=dac3f51876622bc8&vjs=3,Indeed
8,"Data Scientist
new",UnitedHealth Group,"Bengaluru, Karnataka",2.0,https://www.indeed.co.in//rc/clk?jk=680f21eae59c56e4&fccid=d3d3520998346837&vjs=3,Indeed
9,Data Scientist (3 month contract position),Beauty Matching Engine,,17.0,https://www.indeed.co.in//company/Beauty-Matching-Engine/jobs/Data-Scientist-c44b0fea34128651?fccid=cc5151cf497e99b6&vjs=3,Indeed
