,title,company,location,time,link,source
0,Staff Engineer - Machine Learning,Twilio,"Bengaluru, Karnataka, KT",7.0,https://job-openings.monster.com/staff-engineer-machine-learning-bengaluru-karnataka-kt-us-twilio/951a577d-8de3-42c1-b221-c2953439a046,Monster
1,Senior Training Program Manager,Cyient,"Hyderabad, AP",30.0,https://job-openings.monster.com/senior-training-program-manager-hyderabad-ap-us-cyient/7b1e7f8f-4f1b-4215-b00f-5de4f76ccb38,Monster
2,Data Scientist,Right Steps Consultancy,"Pune, Maharashtra",30.0,https://www.indeed.co.in//rc/clk?jk=45feaa63629c349f&fccid=cc9c8bd70b3e54d7&vjs=3,Indeed
3,DATA SCIENTIST /,HelloLeads,"Tiruchchirappalli, Tamil Nadu",30.0,https://www.indeed.co.in//rc/clk?jk=85539979e82cd3a6&fccid=2fb4b6f981bc7208&vjs=3,Indeed
4,Data Scientist,Alphonso,"Bengaluru, Karnataka",30.0,https://www.indeed.co.in//rc/clk?jk=16ccd7de9fa1e34c&fccid=c50ec4f3c260359f&vjs=3,Indeed
5,"Project Assistant-Freshers
new",ScitCentral Global,"Hyderabad, Telangana",2.0,https://www.indeed.co.in//company/ScitCentral-Global/jobs/Project-Assistant-Fresher-460d12a154ebc473?fccid=a4fd8bc654554be5&vjs=3,Indeed
6,"Data Analyst - ETL
new",Honeywell,"Bengaluru, Karnataka",,https://www.indeed.co.in//rc/clk?jk=9f12b10d015e95ca&fccid=50208b5bf45ee3b8&vjs=3,Indeed
7,Data Scientist,KONE,"Pune, Maharashtra",30.0,https://www.indeed.co.in//rc/clk?jk=620d2083c15a8b2a&fccid=9fa5332d10f5477f&vjs=3,Indeed
8,Data Scientist,Tata Communications,"Mumbai, Maharashtra",30.0,https://www.indeed.co.in//rc/clk?jk=b45982db0439cc49&fccid=e53a1e83cfcd06ef&vjs=3,Indeed
9,Machine Learning,Prisma Global Limited,"Mumbai, Maharashtra",18.0,https://www.indeed.co.in//company/Python-Developer-(Deep-Learning)/jobs/Machine-Learning-d09b338684a2307f?fccid=fee19079ab404349&vjs=3,Indeed
10,"Senior Manager-Data Analytics
new",NABSAMRUDDHI Finance Limited,"Mumbai, Maharashtra",4.0,https://www.indeed.co.in//company/NABSAMRUDDHI-Finance-Limited/jobs/Senior-Manager-Data-Analytic-440fd7e0882ba002?fccid=4057d66edd0eafd3&vjs=3,Indeed
11,Data Scientist,Magicbricks,"Bengaluru, Karnataka",30.0,https://www.indeed.co.in//rc/clk?jk=7e235afe8696416e&fccid=e56924e1c52c9e61&vjs=3,Indeed
12,Data Scientist,TALCHEMIST,"Bengaluru, Karnataka",30.0,https://www.indeed.co.in//rc/clk?jk=da07d452e9fd065e&fccid=31007564b1de76b5&vjs=3,Indeed
13,"NCT
new",Deutsche Bank,"Mumbai, Maharashtra",1.0,https://www.indeed.co.in//rc/clk?jk=8658640bd5edec36&fccid=f1d8e147024abb3f&vjs=3,Indeed
14,GIS Developers- Machine learning (Data Scientist),Infinium Solutionz,"Ahmedabad, Gujarat",30.0,https://www.indeed.co.in//rc/clk?jk=18d22c4560cab213&fccid=b943bfeef353d1aa&vjs=3,Indeed
15,DATA SCIENTIST,Innefu Labs Pvt. Ltd.,"Delhi, Delhi",30.0,https://www.indeed.co.in//rc/clk?jk=88cd8309fdd32344&fccid=5c36da9694f987a9&vjs=3,Indeed
16,"Data Analyst
new",Stellapps Technologies,"Bengaluru, Karnataka",4.0,https://www.indeed.co.in//rc/clk?jk=630b1c190eba62a2&fccid=20de017664433a5c&vjs=3,Indeed
