,title,company,location,time,link,source
0,Sr Business Systems Analyst,SPECTRUM,New Delhi,9.0,https://job-openings.monster.com/sr-business-systems-analyst-new-delhi-us-spectrum/ed739825-2af9-4e1e-a991-31605078b004,Monster
1,DevOps Engineer/Release Engineer (5+ Exp),coltech-consulting,"Pune, Maharashtra",13.0,https://www.indeed.co.in//pagead/clk?mo=r&ad=-6NYlbfkN0CnMOd61mqDgoHZ9OQS3AIc8AmL6sdtH7loWHcydQ2HCx15qlt2Q-NFvXyDMHEEN_xu7jqV9bOesjMQlhRwKD9U_qpizg2vpgtRUa4Fnj9k_8wVw8iX_WKms1vTXEPYVNdDVrwoXkFEM5HE8SGanz21sxPNb8CsdqtJ_vKm0DRAKzOmBqA56FymGyi5K22ZeJx4v6nwrq5VChgaxyb7zdQ5uL1jSqj5ZW9yNp6K3JOpQp4TS3Odey1BqYlwVw_qgQOsp3C2hIAISyi3ub8-3-3N3_9E9s-5UiK8Pvj3GGQrcVSUOg6HXfsA8cyToir7FyKrpry-BqCA0-6CP3fF7B60ZUKf0gopNlTULKz6LVK5ieDIG-CgwxPTvJrAoJX6XRxk0K1ebBjIaYY_Ar9nNC2nvh2Po4_4yqEIABGZmS8UiQaW1c-RZXpRj24sSvhWMSfhbkZn4y8iNBivsIoeHSWdHDCtGyy0058=&p=0&fvj=1&vjs=3,Indeed
2,"DevOps Engineer
new",U-Sky Pvt Ltd,"Visakhapatnam, Andhra Pradesh",6.0,https://www.indeed.co.in//company/Usky-Pvt-Ltd/jobs/Devop-Engineer-6cbba17f7025c3ad?fccid=3a97d2e584d7855d&vjs=3,Indeed
3,"Sr. DevOps Engineer
new",Sinelogix Technologies,,3.0,https://www.indeed.co.in//company/sinelogix-Technologies/jobs/Senior-Devop-Engineer-565f89986a513327?fccid=554e45ce04012416&vjs=3,Indeed
4,"DevOps Engineer
new",Techneplus,"Bengaluru, Karnataka",1.0,https://www.indeed.co.in//company/Techneplus.com/jobs/Devop-Engineer-711e23fe6c7ec194?fccid=ce0edbe3e262a56d&vjs=3,Indeed
5,DevOps Engineer,Econz IT Services Pvt Ltd,"Bengaluru, Karnataka",16.0,https://www.indeed.co.in//company/Econz-IT-Services-Pvt.-Ltd/jobs/Devop-Engineer-a7f5f9ac55f702fc?fccid=58ebce37f3c6d161&vjs=3,Indeed
6,"AWS/DevOps Engineer
new",Alphonic Network Solutions Pvt Ltd,"Jaipur, Rajasthan",3.0,https://www.indeed.co.in//company/Alphonic-Network-Solutions-Pvt-Ltd/jobs/Aws-Devop-Engineer-fd88879e3dd4d6f4?fccid=818a8fbc65c509d3&vjs=3,Indeed
7,"DevOps Engineer
new",Larsen & Toubro Infotech Limited,India,4.0,https://www.indeed.co.in//rc/clk?jk=1e7bd9040861388e&fccid=b5f9e2f53707b441&vjs=3,Indeed
8,"DevOps/Cloud Engineer
new",BeeDev Solutions,"Borivali, Mumbai, Maharashtra",,https://www.indeed.co.in//company/BeeDev-Solutions/jobs/Devop-Cloud-Engineer-0d7a34a742e51df3?fccid=8330750b3a7bfe11&vjs=3,Indeed
9,"DevOps Engineer (Ansible/Docker) 4-7yrs exp
new",Visa,"Bengaluru, Karnataka",3.0,https://www.indeed.co.in//rc/clk?jk=16737a9140e6863f&fccid=a3f737e511d9fc8c&vjs=3,Indeed
10,"DevOps Engineer
new",Forefront,"Hyderabad, Telangana",6.0,https://www.indeed.co.in//company/Forefront-Consulting/jobs/Devop-Engineer-e0dd91440c49d61d?fccid=54f2876b121678e2&vjs=3,Indeed
11,"DevOps Engineer
new",Pingala Software India Pvt. Ltd.,"Bengaluru, Karnataka",4.0,https://www.indeed.co.in//company/Pingala-Software-India-Pvt-Ltd/jobs/Devop-Engineer-20fc2dc9d65af35f?fccid=0d5bf7e4676b7fb8&vjs=3,Indeed
12,DevOps Engineer (3 Positions),Borgos Technologies,"Bengaluru, Karnataka",30.0,https://www.indeed.co.in//rc/clk?jk=fbf74d57219b4ca2&fccid=e2a3ee03baf1b41f&vjs=3,Indeed
13,Trainee DevOps Engineer,PearlThoughts,"Tuticorin, Tamil Nadu",13.0,https://www.indeed.co.in//company/PearlThoughts/jobs/Trainee-Devop-Engineer-969b147b7a0b2304?fccid=db4341d43c84cc64&vjs=3,Indeed
