,title,company,location,time,link,source
0,Sr Business Systems Analyst,SPECTRUM,New Delhi,9.0,https://job-openings.monster.com/sr-business-systems-analyst-new-delhi-us-spectrum/ed739825-2af9-4e1e-a991-31605078b004,Monster
1,Technical Support Engineer,"Virtual Clone, VirtualTech Outsourcing Service Private Limited","Bhilai, Chhattisgarh",30.0,https://www.indeed.co.in//pagead/clk?mo=r&ad=-6NYlbfkN0By87LJ65r70u5-yTX78G-rQ12FXJAjzMOsKyJnzqBHXLOMKbLezhbaQtYVnD7x0iVVkYHZWBgcePfmxMR5_7w7CBdQvQ62E5fgmJH6gj283BzpibdWyjY_xPlLdT56Tg6tSoYRbCYhQaYJMsTTqtmxaF2SVWmGKGT4qlv-YCgVH0EN0g1yTJSernqyQBJ08mX-Mb1EbGSLDTmt-FM3PddVmaE3XbYxBuCg7ibWtoViAM3k2jhWiSvYxwKQYtl3DtlNd3yenmicj_cEHOS5t6qE1itWPYeEFfn-QpaLLqCnW-CMYRQdapvT-kVcDqDm-kqhDbW8o5o6m2WLY9LTaCZ29gAVf6i5RJ_gZf9WpjNBliewKhHESYnCsHleOYFBdnwaNJApfQq5OGVBUX8KAaB031nsAE50D6Wxzmd-tu-k5BXa1AIQvU6SueSdGd3xXTU=&p=0&fvj=1&vjs=3,Indeed
2,"IT Customer support
new",Sky Commodities India Pvt Ltd,"Coimbatore, Tamil Nadu",,https://www.indeed.co.in//company/Sky-Commodities/jobs/IT-Customer-Support-063cb1c28b454407?fccid=fb56b996affa07f6&vjs=3,Indeed
3,"IT Technical Support Engineer
new",AAITCS Private Limited,"Pune, Maharashtra",1.0,https://www.indeed.co.in//company/Aaitcs-pvt-itd/jobs/IT-Technical-Support-Engineer-417e1eed8f755b8e?fccid=52504ad6ed13733f&vjs=3,Indeed
4,"Desktop Support Engineer / System Admin / IT Manager || Band...
new",Safecart Logistics Pvt Ltd,"Bandra, Mumbai, Maharashtra",5.0,https://www.indeed.co.in//company/SafeCart-Logistics-Private-Limited/jobs/Desktop-Support-Engineer-446a8aef34aa7722?fccid=84a7567d161e7ff5&vjs=3,Indeed
5,"IT Support Manager
new",IT Mantra TechIntellect Pvt. Ltd.,"Nariman Point, Mumbai, Maharashtra",,https://www.indeed.co.in//company/IT-MANTRA-TechIntellect-Pvt.-Ltd./jobs/IT-Support-Manager-f3eb0e41e6365abf?fccid=1b7fa757c4b6073d&vjs=3,Indeed
6,"Virtual Technical Support, Kolkata - India
new",ADCI - West Bengal,West Bengal,,https://www.indeed.co.in//rc/clk?jk=825112e7e0c7fa15&fccid=fe2d21eef233e94a&vjs=3,Indeed
7,"Tech Support/ IT support Needed!! Long term Position
new",Apex Virtual Team,,3.0,https://www.indeed.co.in//company/Apex-Virtual-Team/jobs/Tech-Support-d12f7d9095b024f2?fccid=c5ca5e985183993a&vjs=3,Indeed
8,"Sr. IT Executive
new",Lianchuang Electronic India Pvt Ltd,"Noida, Uttar Pradesh",,https://www.indeed.co.in//company/Lianchuang-Electronic-India-Pvt-Ltd/jobs/Senior-IT-Executive-26e622e1ddd54fd8?fccid=62a2eb0abbe6c8c9&vjs=3,Indeed
9,"IT Administrator
new",Accel IT Resources Ltd,"Chennai, Tamil Nadu",1.0,https://www.indeed.co.in//company/Augray-Pvt.-Ltd/jobs/IT-Administrator-344aa0b2262497f3?fccid=59ae9628daf18fdc&vjs=3,Indeed
10,"IT Support Manager (Male Only)
new",ITMANTRA TECHINTELLECT,"Mumbai, Maharashtra",,https://www.indeed.co.in//company/ITMANTRA-TECHINTELLECT/jobs/IT-Support-Manager-9166fd5c5875ab75?fccid=ac42f893d7e3663e&vjs=3,Indeed
11,"01 IT System Administrator
new",Leoni,Tamil Nadu,3.0,https://www.indeed.co.in//rc/clk?jk=362748e5e476491c&fccid=36225c25a1b8cea8&vjs=3,Indeed
12,"IT Support Analyst-Java
new",AMPHENOL FCI,"Ernakulam, Kerala",3.0,https://www.indeed.co.in//company/FCI-GBS-India-Ltd/jobs/IT-Support-Analyst-Java-526c45ae88e2f99f?fccid=ebd1a0097721b7e6&vjs=3,Indeed
13,"IT Executive
new",KPB Fincare (P) Ltd,"Ernakulam, Kerala",,https://www.indeed.co.in//company/KPB-Fincare-Pvt-Ltd/jobs/IT-Executive-a7506cfbc37b04b0?fccid=7920b5e53c48ef5c&vjs=3,Indeed
14,"Technical Support Engineer
new",Mobicule Technologies Pvt. Ltd.,"Pune, Maharashtra",,https://www.indeed.co.in//company/Mobicule-Technologies/jobs/Technical-Support-Engineer-d2081f510cfc8857?fccid=bb1e2cc6d78bcb10&vjs=3,Indeed
15,"TECHNICIAN IN THE SERVICE - IT Support
new",Cyient,"Bengaluru, Karnataka",,https://www.indeed.co.in//rc/clk?jk=060a8ffcfe9e0d62&fccid=48337f40cc18bca7&vjs=3,Indeed
