,title,company,location,time,link,source
0,Sr Business Systems Analyst,SPECTRUM,New Delhi,9.0,https://job-openings.monster.com/sr-business-systems-analyst-new-delhi-us-spectrum/ed739825-2af9-4e1e-a991-31605078b004,Monster
1,"IT Operations Analyst IV
new",MoneyGram,"Mumbai, Maharashtra",,https://www.indeed.co.in//cmp/Moneygram,Indeed
2,Customer Support Manager,Knoxed Infotech,"Pune, Maharashtra",30.0,https://www.indeed.co.in//pagead/clk?mo=r&ad=-6NYlbfkN0BOOvy57-xLLTcCfST52WqOQsHKJWsA9fyBhww6uTNVWGF0lb0-_nTyuj-M-370ACnYCMecvmINp30rA-XKgr_YrhemLfy35B2SIS8nMlOWxlI4EnYELFLvoaG7t9YxlnBKtHi7qAn3NM6QkfvSzW67TjJRQ-Nxl7Xtaf473Wtt48SgqfEFlFewMV9ZPfUoexc1QreBl3UtH368YFkV7vHDQDL-Z-XUoSI4zaiYp3K1LmUy9yxbnH-ipFHV9ySoDVRQwwUjxVuxKDarreIkwEESRtAGVqTzyARGULMCoJbNTFxq9Z7fU4EouMqWj44B4On9kzqZJjqmXhaMzR53WA4HUIJlCX2t8FAs2KwjnKLyQq29Fdq-AikSNV-u3AsrnKItRmHkmwkDyBL7dnhzKa3NahKxQ5FdF1kjQiF_Bx9wittMl-dKb-LF3Z52mrASDLc=&p=1&fvj=1&vjs=3,Indeed
3,"Customer Service Representative (Location - Ahmedabad) - Nig...
new",Team Synergein Global Solutions,"Mangalore, Karnataka",,https://www.indeed.co.in//pagead/clk?mo=r&ad=-6NYlbfkN0CyuLuXUSfQePuOINPamihr192b6v3PUYUuEiAiV0hWVAQRs4vXwgaNxMSb85HMbF4QLKxiZwnfALx89I4uzrDT_1DJnoVGi3G43hR8EuEzfM3YHP0YfWnLh0yUTkI74E4bd5Ae2qXHLnMraTpSBvYDw9QYfy4CO91-uCce0SI2fsGmZdIix-gqfzW7Z7LQqR_Eg9qCZ2uio7QImsVhEKMXft1BW05_M8CasAgM78qgawE7i2Bl8M3hFzXiNS5x6K4FU4NeDUxAADGGolx9qom3FaIPddyuW099XByYXzYVGq57StHE1TfdaFpi6lfiBuq14vSmXnfOeYPUv_5YVJtC19x6b1m90Vpy8sxB3JcPEf4bGCur8F3J475hpGvEAvFAfdZtjiIYPBJwTR0wd2zXjdMUN7_Dt8Sc79e6lYg9M5xRyhkwdSDsgWVLteexRTPEqaU4jiLdgq2GVU61lcH9Arz7go_yhIIOAcXExczM2yvjjXKQdMUK&p=2&fvj=1&vjs=3,Indeed
4,"IT Support Engineer
new",ASSPL - Maharashtra,"Bhiwandi, Maharashtra",6.0,https://www.indeed.co.in//rc/clk?jk=2f259a66f164a3ef&fccid=fe2d21eef233e94a&vjs=3,Indeed
5,"Technical Support Executive ( Voice Process )
new",SmartDocs,"Hyderabad, Telangana",4.0,https://www.indeed.co.in//company/SmartDocs/jobs/Technical-Support-Executive-b6456f3623cb86da?fccid=d371b2cbc1ff49ac&vjs=3,Indeed
6,"Service Desk or Helpdesk Analyst
new",DXC,"Bengaluru, Karnataka",2.0,https://www.indeed.co.in//rc/clk?jk=5779cc4ad6c7e957&fccid=feaabf8e6a699d3c&vjs=3,Indeed
7,"Technical Customer Support Executive
new",SourceFuse Technologies,"Noida, Uttar Pradesh",,https://www.indeed.co.in//rc/clk?jk=15725c4959ac1549&fccid=4cd7d6240fe472c3&vjs=3,Indeed
8,"Technical Support Engineer
new",Sectigo,"Chennai, Tamil Nadu",7.0,https://www.indeed.co.in//company/Sectigo/jobs/Technical-Support-Engineer-5950cb5ff381c836?fccid=b1076f3babf2ecb6&vjs=3,Indeed
9,Job opportunity :: IT Support Engineer,SI2 Technologies Pvt Ltd,"Vadodara, Gujarat",18.0,https://www.indeed.co.in//company/Si2-Tech/jobs/Opportunity-7b9c81b149bf6103?fccid=90c38afaf8a7043f&vjs=3,Indeed
10,Technical Support Engineer,PROBOX SOLUTIONS INDIA PVT LTD,"Guwahati, Assam",16.0,https://www.indeed.co.in//company/Probox-Solutions-India-Pvt.-Ltd./jobs/Technical-Support-Engineer-8bea045099172b70?fccid=3a786ad1e9a268f9&vjs=3,Indeed
11,"IT Solution Developer
new",Siemens AG,"Pune, Maharashtra",1.0,https://www.indeed.co.in//rc/clk?jk=2d59ff4d0c269e27&fccid=3b89b9ec324f96c8&vjs=3,Indeed
12,IT Professional,HRhelpdesk,India,29.0,https://www.indeed.co.in//rc/clk?jk=1435418124a9d3e1&fccid=6edaa483dac9b734&vjs=3,Indeed
13,IT Technical Support,Raoiit,"Mumbai, Maharashtra",30.0,https://www.indeed.co.in//rc/clk?jk=53d82f1ace11b557&fccid=8ea3ad002d0efc52&vjs=3,Indeed
