,title,company,location,time,link,source
0,Senior Data Analyst,CyberCoders,"Mount Pleasant, SC",,https://job-openings.monster.com/senior-data-analyst-mount-pleasant-sc-us-cybercoders/218976386,Monster
1,Business/Data Analyst,Strategic Staffing Solutions,"Franklin Lakes, NJ",2.0,https://job-openings.monster.com/business-data-analyst-franklin-lakes-nj-us-strategic-staffing-solutions/218938864,Monster
2,BIOINFORMATICS DATA ANALYST II,CTG,"Durham, NC",4.0,https://job-openings.monster.com/bioinformatics-data-analyst-ii-durham-nc-us-ctg/218615280,Monster
3,Data Analyst,Reuters Technology Group INC,,4.0,https://job-openings.monster.com/data-analyst-us-reuters-technology-group-inc/218894467,Monster
4,eBusiness Data Analyst,MilliporeSigma,"St. Louis, MO",8.0,https://job-openings.monster.com/ebusiness-data-analyst-st-louis-mo-us-milliporesigma/218799477,Monster
5,Sr. Data Analyst/Statistician/SQL Writer - Remote,Matrix Medical Network,"Scottsdale, AZ",9.0,https://job-openings.monster.com/sr-data-analyst-statistician-sql-writer-remote-scottsdale-az-us-matrix-medical-network/215083425,Monster
6,Data Analyst,Net Orbit Inc.,"Tempe, AZ",24.0,https://job-openings.monster.com/data-analyst-tempe-az-us-net-orbit-inc/218494124,Monster
7,Global Cards Solutions Data Analyst,United Nations Federal Credit Union,"Queens, NY",1.0,https://job-openings.monster.com/global-cards-solutions-data-analyst-queens-ny-us-united-nations-federal-credit-union/218969590,Monster
8,Business Data Analyst,Pinkerton,"Washington, DC",2.0,https://job-openings.monster.com/business-data-analyst-washington-dc-us-pinkerton/f63af6fd-7e93-4aec-900b-dc3814f3162e,Monster
9,Data Analyst (GS 12 Equivalent),Credence Management Solutions,"Washington, DC",6.0,https://job-openings.monster.com/data-analyst-gs-12-equivalent-washington-dc-us-credence-management-solutions/e41f8cb3-3d82-4a78-ba44-dbbb07618f77,Monster
10,Advanced Business Process Data Analyst,Honeywell,"Mason, OH",7.0,https://job-openings.monster.com/advanced-business-process-data-analyst-mason-oh-us-honeywell/218558643,Monster
11,Sr. Data Analyst - BI,"A.P.R., Inc.","San Francisco, CA",2.0,https://job-openings.monster.com/sr-data-analyst-bi-san-francisco-ca-us-a-p-r-inc/218922691,Monster
12,Business Data Analyst,enexusglobal,"San francisco, CA",3.0,https://job-openings.monster.com/business-data-analyst-san-francisco-ca-us-enexusglobal/218913174,Monster
13,Bioinformatics Data Analyst,Apex Systems,"Morrisville, NC",3.0,https://job-openings.monster.com/bioinformatics-data-analyst-morrisville-nc-us-apex-systems/218635846,Monster
14,ETL Developer/Data Visualization Analyst,ICAP (Intellectual Capitol),"Raleigh, NC",9.0,https://job-openings.monster.com/etl-developer-data-visualization-analyst-raleigh-nc-us-icap-intellectual-capitol/218777087,Monster
15,"ASAALT Business Data Analyst (Washington, DC)","Integrated Data Services, Inc.","Arlington, VA",2.0,https://job-openings.monster.com/asaalt-business-data-analyst-washington-dc-arlington-va-us-integrated-data-services-inc/218648638,Monster
16,Senior Data Analyst - REMOTE ROLE,Zillion Technologies Inc,"Vienna, VA",2.0,https://job-openings.monster.com/senior-data-analyst-remote-role-vienna-va-us-zillion-technologies-inc/218946773,Monster
17,Sr. Data Analyst/Engineer,"Beacon Hill Staffing Group, LLC","Louisville, KY",2.0,https://job-openings.monster.com/sr-data-analyst-engineer-louisville-ky-us-beacon-hill-staffing-group-llc/218933501,Monster
