,title,company,location,time,link,source
0,Sr Business Systems Analyst,SPECTRUM,New Delhi,9.0,https://job-openings.monster.com/sr-business-systems-analyst-new-delhi-us-spectrum/ed739825-2af9-4e1e-a991-31605078b004,Monster
1,Experienced Web Designer(Remote Working),Azym Technologies,"Alleppey, Kerala",30.0,https://www.indeed.co.in//pagead/clk?mo=r&ad=-6NYlbfkN0At0Y4BAoLejcAVRYjXotX8ikroeHyJ5tOwTJDJ-TusRXSvDwg6rxkV1wAHjSo-blPyNfE8tO29D2KdVE13u2CO2EEM6ggYo06ndcJeIsIbdDdui0dnSkpqaXKyjcEfDsxLIH9uwBzzxYc3CShMfXOy4P3B08wv9t_BczwRMitl3S8-Pqrcs7w8ZFjZuR7h_PNabaEyZSB2KObelS3UJSSqJdggkHk9jHCmEMx-KSHB-QdI1z0hiZm_IzktZjm63QtfalTd_l3vlDfCRq6rHEUmV_Lm_aaRrsczqFQadBIkxtq-y6ifTFwcB7VuijIZ5k4ukqJiWzH9xGetXHSS_i4O8Ue3f6wOYaWHU-mQ9oHUePS4A0KiYV_VsHvCOA_JnDWJZMHFu1AJ7ZvSLcIHFNQhT5biKuJVTLxyQv5nEHx3fB0f1rmCBw0Rw_z3p8ebrj0Uc6txe_AE_C2HaDbQGq6A&p=0&fvj=1&vjs=3,Indeed
2,"Web & Graphic Designer
new",modern school,"Faridabad, Uttar Pradesh",,https://www.indeed.co.in//pagead/clk?mo=r&ad=-6NYlbfkN0ACRz_CcIqIfZu0tQ1bM0rPCxnUCER2M-WFpSwpjpS_5DYuE8HDS1Ussar-VYlaN8DH4a-l66m_NKqaicolmGaTaQ5fmtrOgT0VQvC0f9D23xdYO3lK9-H-NpBzW3D54r3FZMnR9z3Bsh_CrFMGM91NYZocH7DyEenpPHpyEkmCm3P_57sKz13xuw-eoNwk3sB2oiwrwtnb5D6nDx-Ff4riwQM68h537Qey6QTflXLeygqNPuoOdSMrF3DUJ5pBZFySLosHXXXc9g9H8MLXDRVPAi0zlZkQ7iYFrZthM_iG7kd0TNzZzDYrtK9mpxsiHb_rzcsqkORHo7WkFwsdPX4DxoaDsDP3GM8ijhhHLBk-qF0HyQAzyes5docEAY_7acfKgZe3w-9paC91KnLRmwbqmU71pAmeHry1gN-eOm-zMwTIPlz93fGfOQt5TkGlX-I=&p=1&fvj=1&vjs=3,Indeed
3,Web Designer,Indigo Solutions,"Bengaluru, Karnataka",13.0,https://www.indeed.co.in//pagead/clk?mo=r&ad=-6NYlbfkN0Catp7Vk_1vKO4rOjhzgX6IBFi6wsLBfC1uouOkG_jOwT2RHxyyVqso9H2zzLQZagRtaMoU8xU9bhkBYZe_AUvv3CHpsy3UkzAn5MD-cHjIQsPepZWTGIXS32bnAtWP0f4931d0070tdY71JjdkybUiEnKBVsDmhtmCkPhKA5Eo_fecHCBv2jigHL3SI5Fxst_IZASdssNIyvQNOXafEcLghp-xAGpRuStS05lT8aDEG4mHOGTZOZugph99oniV6CcXWbRLzu3-AHpajse-ebk-8wt0lHOfphOwOwmGToxMs1de2qvwhz65g0akPRZWDMuNczBjl3fgsp_eicLn4kTH5OevocYSVrtyniT3qSZR_HQjVccUgTwZnaQp3kRABXk6jK17jZoI6gLsfhsyKa9Vu84QU1B_JnTuWNkmpGGgBez68S3LBiao&p=2&fvj=1&vjs=3,Indeed
4,Web Designer,Lotus Interworks Inc,,8.0,https://www.indeed.co.in//pagead/clk?mo=r&ad=-6NYlbfkN0CjxIkUAm65iVK7RcxY5YHJNYrhEaFD2dNZgDNct8duGqqv-P_3b7vGqiK4H18nP1fb9wSnkZWNx6zpcuoJcaQVNdHpln1vRyLVroehs9_7B_s7pqGggt3Oqj4BFLwMTtUHeADl0RdzsP7tuQVQ6zseEXRyJNawHo4xDS8DsvMpdMwn1PB83nq5SyVck6K_3x0nAuqcHlPANo9AR6wgPRiUlaNdppLy_HFcIUVInGBSIwYB7rGsCcMTe_4yMToXEZMZvan3nj0RrB2UN5BVmDUh14SBwNM25EPlquWF6wQ1pEW6QqDST5fDUqIWOUGFxIUZwi43whhcbBv4pKaw2StNm6agOHcbb6Bhux5a1ge4QJj0dFeszqFMNapPJkuCNyibnzdWAn2yogvnceF1FvnlcNr-EsdFUE9P8pn8Cs3k3Sha9UJVZ1rg&p=3&fvj=1&vjs=3,Indeed
5,Web Designer,Kansas Overseas Careers,"Begumpet, Hyderabad, Telangana",8.0,https://www.indeed.co.in//cmp/Kansas-Overseas-Careers-1,Indeed
6,"Web Developer/Designer
new",TEAM INSANE ESPORTS,"Khanapara, Assam",,https://www.indeed.co.in//pagead/clk?mo=r&ad=-6NYlbfkN0DMaMiBPvFEu-K8619trxSJW3fplXUIxKciOv5f04hfedyMmsfEMFEno4dY8jBiasIs6KHvSrXaF3wwQ4TnjoFYfoLNGwVR2W3SwSjQSqVwMx5wF00NP2lv3_ZteZmm4cLRAWKGq_YmIkPFzcDjcW5VAjWJD814HWFZLV1V_-Mkq53uBFM_FnCv-ThY7kdWN7bb_liL_NxSFZDM_87dL3Cc3fj0K2KaOVdc2Sdit3Z7xMnSwCyF9f3BW3KYs5aCv935WfD_dkj57QTqdzaq1JW7gtTK2t9D3fgYYoMm9gZmE21FczFXn8dmsZPUR5pIzSvSRdm8r-dJlniy7sksp1bO9oVEa1IWwjUwqftJK0TAx2PhLn6NcmDdUwJE6mRSKBF45q89_wgnJPps7E80oAfeGW9OhRwZoLZAAGR38GCNnWTlIl3sn2BXog0OiEkwZIA=&p=5&fvj=1&vjs=3,Indeed
7,"Web & Graphic Designer
new",TENSONITE PVT LTD,"Puducherry, Puducherry",2.0,https://www.indeed.co.in//pagead/clk?mo=r&ad=-6NYlbfkN0BtiiImGZBza0-jg75Lj3fKk38FGmsuoKRYXXxKKNKusIX08K67FES_AMkaxw-e5UJDulOWAwiim7IAFT4FI0b8w9C25rdTizo6Jh3ArKOnMi6OjgF6VcWjajOcBTymkNo5FEzSOnM4BvxnKfZTn8xo3fJL2PyHzdYf_pWzUCD9EGmz1SvEtzgQmwOEq3qsjay2BpwHuhwJGlt1Gqde9ux_7P8O-St70yF4LF9IqnwidTL-Ag6Ub07H2W9LZ242cwkiQzL-rA8EIxe7yG83AvdkFzt_O2g-baxXXZxFADs68iLU5K4bzcOgtmAViNUTQPS3AxG0jUpZzjoR0To5zCDk49Egr6EghDVLlwUVLGmv1psyNQkPu-tLezp0wAMwtXgOd6Qqer5YYtOMi8KkyuL03dJ4iZ8LT5R_mWk1QaelHWNs3YU6OBNo5OGeN_7Nwkw=&p=6&fvj=1&vjs=3,Indeed
8,"Web designer
new",Acorn Tech,"Pune, Maharashtra",2.0,https://www.indeed.co.in//pagead/clk?mo=r&ad=-6NYlbfkN0DgXWTRcZ2PR7d10xUIu1EGhMJ0VdotcY2Jd-l8Nw6GG2am_idDfF7b4XMA66_QBf4ndP5389ykA7HBObzMWkzCaZRfZuE3I8onevNfsTTZFpFDUJUCaRv_1ncmGzz6-cBdncxEgQILPijKK8IQO3lCa9oYxp4beS2DgQ7Nr8uz21suH7pH_1ZavtrwFrro_wEzvv8Hyn7tm8EnEWW6tdAtsHTj7tzl2FmYoqtdVNNHEdJD9TcwlxW9ur6nyiwh--_mNdcVVP76cLmcl5AjVtBxibdp1jYT52jyL_UUxywRNYGPHYz-_EkSp3qYhr0uojWSr0d3F8zB2ldYiCnqaLcUEDd0uyGnXeTaSWtyYDheR7YJRlBfVevEf4_ZU0Gh6UYtX9FH2toHIVKhKKzU0-XVxyEkt71n_qF-4s1mP3WYqw==&p=7&fvj=1&vjs=3,Indeed
9,Graphic & Digital Designer,WATT+VOLT,,30.0,https://www.indeed.co.in//pagead/clk?mo=r&ad=-6NYlbfkN0DqXa-Vl2dxochGAnL4tS4FNWMBEM4bfxxe4_P3uo5vbSf-Y7-gZv1zpBsuTWkTAhJPIsIhwuwt5334AEFjuu9OCfO7B6jzVIERQEH-XJpWnRhCjkclQJNq_u5uaad7fd7bsCfqqUDvMBNNB116Q1sOjII0jbW7IIBwj-lr2dJVRwGuTSIHk-UVyyys8wWwyJWr5cpleIxnGI_UU91FK_JJnyGwZosnPwgUjUIKjSJFzS-Zzf84-HBexfYm0XwFW7iNDO-1xT_IhxNdsyPtKKT9AE-nvNuKPcmoQXbfPmSUUDM3hxwPXUD3_dcUU06BkVkTxpdW6-MXRYF1bxYNOoNUzEzmqjVf3R00e5-B90Q7ufKkjJxgpDPc4GasalYMGLq-id8TcFamOgL8rpfYtf3zf2hPvSS7wT8JY9lO16dZoer0jCujMI-Hw77RBFsmqAQ=&p=8&fvj=1&vjs=3,Indeed
