,title,company,location,time,link,source
0,Sr Business Systems Analyst,SPECTRUM,New Delhi,9.0,https://job-openings.monster.com/sr-business-systems-analyst-new-delhi-us-spectrum/ed739825-2af9-4e1e-a991-31605078b004,Monster
1,Web Designer,HeftySoft,"Whitefield, Bengaluru, Karnataka",30.0,https://www.indeed.co.in//rc/clk?jk=c5ba190625a27094&fccid=0248336a15b27e57&vjs=3,Indeed
2,"Web Designer
new",SocialGeeks,"Chandigarh, Chandigarh",2.0,https://www.indeed.co.in//company/SocialGeeks/jobs/Web-Designer-06fb7c70684e152a?fccid=61e1451b806d912d&vjs=3,Indeed
3,Jr. HTML Designer (1 - 2 years),Nyusoft Solutions,"Ahmedabad, Gujarat",10.0,https://www.indeed.co.in//rc/clk?jk=6fd19e8b4db3feb4&fccid=de9577206986f853&vjs=3,Indeed
4,Freelance Web Designer (Work from Home),My Website Pioneers,"Rohini Sub City, Delhi, Delhi",14.0,https://www.indeed.co.in//company/My-Website-Pioneers/jobs/Freelance-Web-Designer-7f3085c8aabcdd31?fccid=a2789ccfd47e60c2&vjs=3,Indeed
5,Web Designer. (Immediate requirement),BlueWhyte Software Solutions,Kerala,30.0,https://www.indeed.co.in//rc/clk?jk=87fa5459303f233d&fccid=a83aea640da76e1a&vjs=3,Indeed
6,WEB DESIGNER,AKRS Technologies,Kerala,30.0,https://www.indeed.co.in//rc/clk?jk=11bf8da9d5f66bb5&fccid=39d9a4091e4b8eb1&vjs=3,Indeed
7,Web Designer,Siginux Networks,"Noida, Uttar Pradesh",9.0,https://www.indeed.co.in//rc/clk?jk=2373792962b77a5b&fccid=d008178bf4e56a87&vjs=3,Indeed
8,UI/UX Designer,Travidux Technologies,"Kizhake Chalakudi, Kerala",8.0,https://www.indeed.co.in//company/Travidux-Technologies-Pvt.-Ltd./jobs/Ui-Ux-Designer-1b38045ca2f46c4f?fccid=8ff1a2b8415f25f7&vjs=3,Indeed
9,"UI Designer & Developer
new",Vaeto Technologies,"Tambaram, Chennai, Tamil Nadu",2.0,https://www.indeed.co.in//company/Vaeto-Technologies-Private-Limited/jobs/Ui-Designer-Developer-bc484b8b13e6ba36?fccid=aedf126e280e1742&vjs=3,Indeed
10,Web/Flash Designer,WHIZTEC,"Kochi, Kerala",30.0,https://www.indeed.co.in//rc/clk?jk=0ddfd482f987cc3e&fccid=f991da34a797c1f9&vjs=3,Indeed
11,Web Designer & Developer,Techtologics,"Bengaluru, Karnataka",8.0,https://www.indeed.co.in//company/Techtologics/jobs/Web-Designer-Developer-19c3efad8d0fd366?fccid=766c4187b4049461&vjs=3,Indeed
12,"UI/UX/Front end Designer and Developer
new",Vishishta Technologies,"Rajajinagar, Bengaluru, Karnataka",4.0,https://www.indeed.co.in//company/vishishta-technologies/jobs/Ui-Ux-Front-End-Designer-Developer-e260f588edb2ed78?fccid=2bca8824c597a46b&vjs=3,Indeed
13,"Web UI Developer
new",Lamppost Media Private Limited,,2.0,https://www.indeed.co.in//company/Lamppost-Media-Private-Limited/jobs/Web-Ui-Developer-c395b6cb2103007f?fccid=ca3f63ac4f74cc8f&vjs=3,Indeed
14,Junior Web Designer,Krea8ve.com,"Cannanore, Kerala",25.0,https://www.indeed.co.in//company/Krea8ve.com-by-Makmo-Solutions-Pvt.Ltd/jobs/Junior-Web-Designer-14c471a8875fa2a2?fccid=a89d29dc38e42d6f&vjs=3,Indeed
